Block Height,Output Index,Address/Pubkey,Amount (BTC),Script Type
52,0,045c1f2f8b3f3e51ff51a7230dcc4c0983986a8aecb1751242dd62a0cadb653b90c2636ed13fb479f80f805ba462c08ddc2863367932b9615046adbecc1443af60,50.0,p2pk
53,0,04cad6127556bbeb5753c0e9a0c13787a7f7d4773c1544651072c8a17c5d68d47974b6ae5118344b268ecb52d164917cd9db6cecdcb4e6be44aaf302abd81985ca,50.0,p2pk
54,0,041ef7071c442fef11b695edb2c555bdc14ab797683e709695775e356f8a016969507842c8071353c33ad5d169959712be1cd2ee5db9e2b84769b5b9541b6486fe,50.0,p2pk
55,0,04ea258025b3a5fa9352ab84951c1141affb5d7e0364ab18ed65d7f970b9af1cd7f9550cb69a016480d825e4e112ba9f16c717ec3a421c02155de4425a2066d208,50.0,p2pk
56,0,0494a494a15a35b0fb7d69d03e1a0824d73933d57ca21236fdb4aa9412f19c4a5bf772b50a0544e743af767582523840eeee684aac0e21d5da4b6a41320564ac24,50.0,p2pk
57,0,042f1c4a33266a8d0560b16a1ca35982ef0414ef30b268786de15c8c9836b91a612f5a043f026e3787bbb40952e4acd6a21d34285d939bfa6a23ba94b72de78247,50.0,p2pk
58,0,0438a186480a0dba427b44e72dbcfa73c7c7597ad0facd2fce69aa6a227d8533bb2219f1a6d7b0e057f52f7075d1858f2a9f725cdde03dc22d9ea6db10f6274091,50.0,p2pk
59,0,047fcd0b4211b1c3cde62dcea8da192533f3fd1446734c221f5ff54904d28803eb77c16aeb9b1a0562e79d38b9ba281f9fc0a4c24d7d8d5af9d4c11b670dc61fc1,50.0,p2pk
60,0,049530a4ab6a53952c94488cada1f77631ed1d29d3b4c8597d8b68623f290f412752c087f2ec0fbda29dbb8496984ff6e1f8b0134da5b8011d34d9b3bfdf702e5b,50.0,p2pk
61,0,042a988f492cef43f38089fc1a6f11ab07f3cd52ca3c0fb6850bc2d31b83dbc97c7575203691a5afe51fc36d287bff42506979e40ab61a758adafc51f746b2d6ae,50.0,p2pk
62,0,043fcbb41d06811e2df06c70dbf78e63c6a4404c28a0c990a837ee54f6c09fe259182f4d18233399262a640ac8c2f8b58b354bcf57ea7bb2dfb6261ceb8ca908fc,50.0,p2pk
63,0,04480b0d9f662fa54744f9da98a4671b89290dd30a1c4aabd9fd276417f6671770dc0c3bddca76080bfd4fc37d85cf84260f06aaa8a15b141f2f98da4215dd9b59,50.0,p2pk
65,0,04066687fe17381d3ea7490b084a2e9cab4ab37369089accc8b005cbea944789d1e34fcc418ed70c98936ae2c97cd8478bdc37264260421999b150573d1106d492,50.0,p2pk
66,0,04931ec0965431158d18f122abc012edfa87e83df07028d2d3bd71504de74cac5798608b8283278f885639030029b1e5215f4a087506be0455fc9ebb5fa2aadd0e,50.0,p2pk
67,0,049977f4ef44b1c7c3854e52c3706c3a9614d7981ba3a7d4c7a168399c2ae324242c9b1e22e5ab8d0e8f732d56f353555e6c8ccb6116b1f46ff5fcc0298f9fadfd,50.0,p2pk
68,0,04440de3fdefd849e2d4725cef4dccf25a7bd8b8dcc181edaf189391790a5cae414a08e75a76df0fc4ed2fb79dfba9fdc3026ceded3582a34a20fffcfa4fb12153,50.0,p2pk
69,0,0443e7444ce6d177ed64331242f38feb451362b84f4ad5a0337b40022ade0fe1e5dbc923c6a5965fbf25a58561c5a28edec98d06e26c5c3c39000fe41a1325d004,50.0,p2pk
70,0,048bc631c0da8fa813d18cc2cbe89559054e135bdd4a590f3a25fc66ff642e2de7f18f5f398c6f00a12df74f5a82053bfcd4ccb55bd4f231d2ffee618e7267a1c2,50.0,p2pk
71,0,0439fc9a6971cd37f858dca09e85506cddf42ceba231d3a53960bc8b6ca73d98c4785ff33a7c24f5de6a251381c87fdc104867df420495b7d93d39861cf5238c36,50.0,p2pk
72,0,04d2b452aa16024f4eb306bfc304e7f1ff5a01c2f4953859ea6608a7ad5a7c3e5b238bc6310d3816f7b8851e06a3c218911a16c3eedf7d1db982b06dba8c399a34,50.0,p2pk
73,0,041ff327e119b244f3c6140c13f94fdde6432fa02aebaac4a263859615080d0096a43d447affc1572e3391d762de5aa8aa650cda877b3bf42ecd157cfe49ad838a,50.0,p2pk
74,0,044ec8b0fcf5304f08f97348130e5c12c89f2f1678b1599d7f78b033597944945362ca67001ad40afaac594d09cb25ef323ea1bea28ae01c392397a7c673206072,50.0,p2pk
75,0,04a5f1b7ea48a8d5913bfc569b1b9e091d7fbbbb5cdb97af0442f40be158fa5af68417e4bde42dfa04326e38613d583aafb5edb675b19e32465e8454fdd4c64202,50.0,p2pk
76,0,04737918981d5f4caa7efd6c11cccd696b4b588e823053ce202dbe1b2531f09150f885e32ff0af259d2bfa3f0ba573807addcc096375961f1490a50a860444204c,50.0,p2pk
77,0,04c8e38a2d330ef2c1317df46c906ed13c462bf5f360f1e26b1427ea38bf8f4075c91742ae5a0658b5beffb512dcc00f661b4813e85f584708204db09e4f6bd9b6,50.0,p2pk
79,0,045180728bae477149c556f55987b95b926a0da0f542adf2e8f4f811cd929b8e5c73b92ac9f454a2bfc7b1463be7f553b9e7ba26f7229d513241ff3b5cdf6b72bb,50.0,p2pk
80,0,04e869b280ddc2eb25995d46264e9b94d99214f0c3c3eec3b285c54bba7658edce94a3dca09c2206ec7a81aa1aef82bbf43c548f19731c37744c2bd97742e84173,50.0,p2pk
81,0,04f0d742c83392ae7f885fca7739a1681df9039d9930f4eede9fef7b7c85fb191fad43e584345e8b872c84260b39c2e192512ead631083be327a6825fa0ba561e5,50.0,p2pk
82,0,04916315e2bfc2affe420b84b949e53134d996af10a6f6e6a4ffb0158d00ba7433ead8bdd024517e2ec650965ffdf8f6eaf2a5046c0889b3532206f65be6e76a95,50.0,p2pk
83,0,0426f1f79f707063f225a9d48097d0fe6923afb3f8c210b536c93b8465e8a5d937a90806c0e2861b92a91d050f81c61e837e638aecd53584205bfd521bc9a14aa6,50.0,p2pk
84,0,04e761595b66d7c108dcec83722a23a24ce0b2cf3f8f5db4fb483b62a36a96e5ad93698cd2006cbca41b4294af51fb61c13202eb9a871c86f8ce3479eccda1fa45,50.0,p2pk
85,0,0433b8523d01fa02c9ff12b73bb4e6dcb4dac725e0853d119cf13d791e202b4e30dcb6da12d3627d638ff9ff225b6d7667ee7d2a36e5e140634772b6da6041479c,50.0,p2pk
86,0,04d5897fd3690b923198285547881b89ea914fda24d5ea71db9742244a4b047b2d9a57d24c49067438491eef34585f2c6178bfb45c677afe7034e7b4ae5b603132,50.0,p2pk
87,0,04212f1e2bc4abbef7682da4e136de7f8cfb6e49cf21eccfed72046ec0ae5f034a282db6ba0391205055aee425ba21e033c94441227eb86cd9f13a93c330afd563,50.0,p2pk
88,0,04db2bfc4aee47f0b45ae88bc76431940aa2547ef7ba34e4bf176f7cd37a3713e56a21ebece2a105df52bd6b4d213aaa8c7bb7c6556bff3e2a9d43e4658d5e3af2,50.0,p2pk
89,0,0476a73b9d3afd848cbe8c99a0b1cca07ad5117d8ade5a314ce7739f0a189a0be77406d13cb6c92fe6d9b69c2fa338136938af9e930db3146fee39c5464a6707e3,50.0,p2pk
90,0,04580bf58d578798b7ac68e19e933ffe544045b43b05ec4b2a40b5da5371664bd88bd008ce766a37607ea34b29b18e2a6a0bd1c47d025eeddf6afd88a193cacdac,50.0,p2pk
91,0,04a48c81c934bd903ab347c7fb03d624c75305cf1e78e66c09f334e1617b52484ea130bceaae53ffd13804b5d188d4f590a469d1e878ad151e1f4fa6e07aeac505,50.0,p2pk
92,0,04ad6f8b8c71859ab32eb863c88f33a9c6d621639cb1b6094ee61c7a8bdfa2fd7070c620d8f0f99e98b090ce932a7ea8d7595eadd0d80ce966c52bece59b96c88f,50.0,p2pk
93,0,04cd2f49d4c04cb91fed784dc604f8021ed3ff52a56ffefbff5e6f843079cf34a37d47a5c0c86a98e3a52f2ac8eaef2baa5975620b6bf097ca9d4db5abdec58715,50.0,p2pk
94,0,04c50039dc8f8f4878f3d56d88befef5d7a1a1baebac823518dbbd06d36accfa7f28486ea8f6af26a18b3ab415273e1000ea213c53a82f78767347f1a72e69fd66,50.0,p2pk
95,0,04c00009ba97102d1bd4703d13d0ebcb0743a54e9b14f5ee4190dd96ad7c4beffa61ed95ab3f60187ce8c619843a088df19781fd24f92aa90a2464f02689de4e2e,50.0,p2pk
96,0,0466997c6a5c2d1a61b07dccc317f31f1846c4054b9b8d3623a325358cd120ac6b60cbd6b1fe70102d293732401b7ad20d125de6371905fde9f2c7fbcb4c049125,50.0,p2pk
97,0,0418b81a849bb96e40b9317cb8daf633cc8994a42b2e7a5d59fe61a4c106fadc1bcf20894b144498742007fbde4736affc2eab2fc26697aa285468e3e62138b1b2,50.0,p2pk
98,0,04be296437b546e1c6e70d2f98552c93adf000d2a6cb2bafd17aed5a0c7c52eb04293901c380a8c64417a127963984a6be2e501fb75d2d111eb0e6deffc09f9163,50.0,p2pk
99,0,04c6b866deb67d6f20d7030817e1afa3c57ab94ffa1b3b39d365fa047aa518868697376dec5a78d497965af57cd27af63362c2df85e7823a0144e06a37851e072e,50.0,p2pk
100,0,04e70a02f5af48a1989bf630d92523c9d14c45c75f7d1b998e962bff6ff9995fc5bdb44f1793b37495d80324acba7c8f537caaf8432b8d47987313060cc82d8a93,50.0,p2pk
101,0,04181d31d7160779e75231f7647f91e53d633839eb9ce3fe096ec522719cc1b9da0237cb9941a059579bee26692a90344417069391a6aa1e4680caa4580a7ab9f3,50.0,p2pk
102,0,04003e8f977a0f6e276bf8160b0a8eabaa7a45ca4f664f201fec4f8c95fba55cd9698ea8fafec47cf3f008e75ae02769ce550d25fe024a0fc08cdbae2a08651b1e,50.0,p2pk
103,0,044c77009fa2582cb0a28311edf08eb7e3e136e87ed1e6e9cd3a4f755094ca72a77580d9dd4804318201fbf74e34a11ff82eeceb7d4aa9da5b237ae27d08ec8741,50.0,p2pk
